udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,type_encoded,temp_diff,power
134,M14993,M,298.7,308.4,1430.0,49.6,135,0,0,0,0,0,0,1,9.7,70928.0
135,L47314,L,298.8,308.4,1369.0,53.0,138,0,0,0,0,0,0,0,9.6,72557.0
136,M14995,M,298.8,308.5,1711.0,28.5,140,0,0,0,0,0,0,1,9.7,48763.5
137,H29550,H,298.7,308.5,1420.0,45.7,143,0,0,0,0,0,0,2,9.8,64894.0
138,L47317,L,298.7,308.6,1297.0,55.3,148,0,0,0,0,0,0,0,9.9,71724.1
139,H29552,H,298.8,308.6,1449.0,49.4,150,0,0,0,0,0,0,2,9.8,71580.6
140,L47319,L,298.8,308.6,1268.0,55.8,155,0,0,0,0,0,0,0,9.8,70754.4
141,L47320,L,298.8,308.6,1511.0,36.1,157,0,0,0,0,0,0,0,9.8,54547.1
142,L47321,L,298.7,308.5,1544.0,35.2,159,0,0,0,0,0,0,0,9.8,54348.8
143,M15002,M,298.6,308.4,1778.0,28.2,161,0,0,0,0,0,0,1,9.8,50139.6
144,H29557,H,298.6,308.4,1407.0,50.5,164,0,0,0,0,0,0,2,9.8,71053.5
145,M15004,M,298.6,308.4,1391.0,42.4,169,0,0,0,0,0,0,1,9.8,58978.4
146,L47325,L,298.5,308.4,1513.0,33.6,172,0,0,0,0,0,0,0,9.9,50836.8
147,H29560,H,298.5,308.4,1612.0,36.1,174,0,0,0,0,0,0,2,9.9,58193.2
148,L47327,L,298.4,308.4,1515.0,40.1,179,0,0,0,0,0,0,0,10.0,60751.5
149,M15008,M,298.3,308.3,1379.0,48.0,181,0,0,0,0,0,0,1,10.0,66192.0
150,L47329,L,298.4,308.3,1473.0,39.9,184,0,0,0,0,0,0,0,9.9,58772.7
151,L47330,L,298.4,308.3,1422.0,42.7,186,0,0,0,0,0,0,0,9.9,60719.4
152,M15011,M,298.4,308.2,1463.0,37.6,188,0,0,0,0,0,0,1,9.8,55008.8
153,M15012,M,298.4,308.2,1584.0,41.0,191,0,0,0,0,0,0,1,9.8,64944.0
154,L47333,L,298.4,308.2,1850.0,27.0,194,0,0,0,0,0,0,0,9.8,49950.0
155,L47334,L,298.4,308.2,1528.0,36.2,196,0,0,0,0,0,0,0,9.8,55313.6
156,H29569,H,298.4,308.2,1987.0,19.8,198,0,0,0,0,0,0,2,9.8,39342.6
157,M15016,M,298.4,308.1,1495.0,46.0,203,0,0,0,0,0,0,1,9.7,68770.0
158,H29571,H,298.4,308.2,1478.0,43.5,206,0,0,0,0,0,0,2,9.8,64293.0
159,M15018,M,298.4,308.2,1499.0,40.0,211,0,0,0,0,0,0,1,9.8,59960.0
160,L47339,L,298.4,308.2,1471.0,47.0,214,0,0,0,0,0,0,0,9.8,69137.0
161,L47340,L,298.4,308.2,1282.0,60.7,216,1,0,0,0,1,0,0,9.8,77817.4
162,L47341,L,298.3,308.1,1412.0,52.3,218,1,0,0,0,1,0,0,9.8,73847.6
163,L47342,L,298.3,308.1,1586.0,35.5,0,0,0,0,0,0,0,0,9.8,56303.0
164,M15023,M,298.4,308.2,1468.0,43.8,2,0,0,0,0,0,0,1,9.8,64298.4
165,M15024,M,298.5,308.3,1440.0,43.6,5,0,0,0,0,0,0,1,9.8,62784.0
166,L47345,L,298.5,308.4,1733.0,26.0,8,0,0,0,0,0,0,0,9.9,45058.0
167,H29580,H,298.4,308.2,1612.0,32.6,10,0,0,0,0,0,0,2,9.8,52551.2
168,H29581,H,298.4,308.3,1458.0,42.9,15,0,0,0,0,0,0,2,9.9,62548.2
169,L47348,L,298.4,308.3,1433.0,62.3,20,1,0,0,1,0,0,0,9.9,89275.9
170,L47349,L,298.4,308.3,1318.0,59.1,22,0,0,0,0,0,0,0,9.9,77893.8
171,M15030,M,298.4,308.2,1610.0,35.0,24,0,0,0,0,0,0,1,9.8,56350.0
172,L47351,L,298.2,308.1,1462.0,50.8,27,0,0,0,0,0,0,0,9.9,74269.6
173,M15032,M,298.1,308.0,1924.0,20.8,29,0,0,0,0,0,0,1,9.9,40019.2
174,M15033,M,298.2,308.0,1591.0,33.7,32,0,0,0,0,0,0,1,9.8,53616.7
175,L47354,L,298.2,308.1,1306.0,58.3,35,0,0,0,0,0,0,0,9.9,76139.8
176,L47355,L,298.2,308.1,1382.0,43.5,37,0,0,0,0,0,0,0,9.9,60117.0
177,L47356,L,298.2,308.1,1618.0,34.7,39,0,0,0,0,0,0,0,9.9,56144.6
178,L47357,L,298.2,308.2,1988.0,21.4,41,0,0,0,0,0,0,0,10.0,42543.2
179,L47358,L,298.2,308.2,1436.0,50.2,43,0,0,0,0,0,0,0,10.0,72087.2
180,L47359,L,298.2,308.3,1304.0,49.8,45,0,0,0,0,0,0,0,10.1,64939.2
181,L47360,L,298.2,308.3,1475.0,49.9,47,0,0,0,0,0,0,0,10.1,73602.5
182,H29595,H,298.2,308.3,1824.0,24.2,49,0,0,0,0,0,0,2,10.1,44140.8
183,M15042,M,298.1,308.2,1342.0,48.1,54,0,0,0,0,0,0,1,10.1,64550.2
184,L47363,L,298.1,308.2,1485.0,40.7,57,0,0,0,0,0,0,0,10.1,60439.5
185,L47364,L,298.2,308.2,1667.0,30.6,59,0,0,0,0,0,0,0,10.0,51010.2
186,L47365,L,298.2,308.2,1446.0,38.2,61,0,0,0,0,0,0,0,10.0,55237.2
187,L47366,L,298.1,308.3,1301.0,56.0,63,0,0,0,0,0,0,0,10.2,72856.0
188,L47367,L,298.2,308.4,1379.0,43.1,65,0,0,0,0,0,0,0,10.2,59434.9
189,L47368,L,298.3,308.5,1606.0,33.6,67,0,0,0,0,0,0,0,10.2,53961.6
190,M15049,M,298.3,308.4,1539.0,43.4,69,0,0,0,0,0,0,1,10.1,66792.6
191,L47370,L,298.2,308.4,1477.0,49.9,72,0,0,0,0,0,0,0,10.2,73702.3
192,L47371,L,298.2,308.4,1666.0,34.6,74,0,0,0,0,0,0,0,10.2,57643.6
193,H29606,H,298.2,308.4,1398.0,51.8,76,0,0,0,0,0,0,2,10.2,72416.4
194,H29607,H,298.2,308.4,1678.0,34.6,81,0,0,0,0,0,0,2,10.2,58058.8
195,M15054,M,298.2,308.5,2076.62838774028,10.7,86,1,0,0,1,0,0,1,10.3,22219.924
196,L47375,L,298.3,308.5,1453.0,42.9,89,0,0,0,0,0,0,0,10.2,62333.7
197,H29610,H,298.3,308.6,1432.0,49.5,91,0,0,0,0,0,0,2,10.3,70884.0
198,M15057,M,298.4,308.6,1527.0,40.9,96,0,0,0,0,0,0,1,10.2,62454.3
199,L47378,L,298.4,308.7,1588.0,35.0,99,0,0,0,0,0,0,0,10.3,55580.0
200,L47379,L,298.4,308.6,1433.0,47.1,101,0,0,0,0,0,0,0,10.2,67494.3
201,L47380,L,298.4,308.6,1609.0,35.0,103,0,0,0,0,0,0,0,10.2,56315.0
202,L47381,L,298.3,308.5,1575.0,41.2,105,0,0,0,0,0,0,0,10.2,64890.0
203,M15062,M,298.4,308.5,1636.0,35.7,107,0,0,0,0,0,0,1,10.1,58405.2
204,L47383,L,298.4,308.5,1490.0,37.9,110,0,0,0,0,0,0,0,10.1,56471.0
205,L47384,L,298.4,308.5,1741.0,32.8,112,0,0,0,0,0,0,0,10.1,57104.8
206,M15065,M,298.5,308.6,1344.0,53.0,114,0,0,0,0,0,0,1,10.1,71232.0
207,L47386,L,298.5,308.7,1609.0,35.3,117,0,0,0,0,0,0,0,10.2,56797.7
208,M15067,M,298.4,308.7,1421.0,60.7,119,1,0,0,1,0,0,1,10.3,86254.7
209,L47388,L,298.4,308.6,1591.0,36.7,122,0,0,0,0,0,0,0,10.2,58389.7
210,L47389,L,298.4,308.6,1477.0,44.0,124,0,0,0,0,0,0,0,10.2,64988.0
211,L47390,L,298.4,308.7,1523.0,36.1,126,0,0,0,0,0,0,0,10.3,54980.3
212,L47391,L,298.5,308.7,1575.0,33.9,128,0,0,0,0,0,0,0,10.2,53392.5
213,H29626,H,298.4,308.7,1344.0,52.9,130,0,0,0,0,0,0,2,10.3,71097.6
214,L47393,L,298.4,308.7,1386.0,44.9,135,0,0,0,0,0,0,0,10.3,62231.4
215,M15074,M,298.3,308.6,1589.0,37.1,137,0,0,0,0,0,0,1,10.3,58951.9
216,L47395,L,298.3,308.6,1548.0,40.3,140,0,0,0,0,0,0,0,10.3,62384.4
217,L47396,L,298.3,308.6,1499.0,38.3,142,0,0,0,0,0,0,0,10.3,57411.7
218,L47397,L,298.3,308.5,1664.0,31.6,144,0,0,0,0,0,0,0,10.2,52582.4
219,L47398,L,298.3,308.6,1447.0,38.1,146,0,0,0,0,0,0,0,10.3,55130.7
220,M15079,M,298.3,308.5,1434.0,46.2,148,0,0,0,0,0,0,1,10.2,66250.8
221,L47400,L,298.3,308.5,1416.0,52.7,151,0,0,0,0,0,0,0,10.2,74623.2
222,H29635,H,298.4,308.5,1827.0,24.3,153,0,0,0,0,0,0,2,10.1,44396.1
223,L47402,L,298.4,308.6,1304.0,45.0,158,0,0,0,0,0,0,0,10.2,58680.0
224,L47403,L,298.4,308.6,1569.0,34.4,160,0,0,0,0,0,0,0,10.2,53973.6
225,L47404,L,298.3,308.6,1584.0,29.3,162,0,0,0,0,0,0,0,10.3,46411.2
226,L47405,L,298.3,308.5,1362.0,53.8,164,0,0,0,0,0,0,0,10.2,73275.6
227,L47406,L,298.3,308.4,1329.0,49.2,166,0,0,0,0,0,0,0,10.1,65386.8
228,L47407,L,298.3,308.5,1539.0,36.1,168,0,0,0,0,0,0,0,10.2,55557.9
229,M15088,M,298.3,308.5,1629.0,37.1,170,0,0,0,0,0,0,1,10.2,60435.9
230,L47409,L,298.3,308.5,1538.0,32.2,173,0,0,0,0,0,0,0,10.2,49523.6
231,L47410,L,298.3,308.6,1570.0,34.8,175,0,0,0,0,0,0,0,10.3,54636.0
232,L47411,L,298.3,308.4,1408.0,43.1,177,0,0,0,0,0,0,0,10.1,60684.8
233,L47412,L,298.2,308.4,1424.0,47.6,179,0,0,0,0,0,0,0,10.2,67782.4
234,L47413,L,298.2,308.4,1512.0,34.9,181,0,0,0,0,0,0,0,10.2,52768.8
235,L47414,L,298.2,308.4,1478.0,42.9,183,0,0,0,0,0,0,0,10.2,63406.2
236,M15095,M,298.1,308.3,1680.0,33.7,185,0,0,0,0,0,0,1,10.2,56616.0
237,L47416,L,298.1,308.3,1495.0,38.7,188,0,0,0,0,0,0,0,10.2,57856.5
238,M15097,M,298.0,308.1,1552.0,36.6,190,0,0,0,0,0,0,1,10.1,56803.2
239,L47418,L,297.9,308.1,1393.0,50.3,193,0,0,0,0,0,0,0,10.2,70067.9
240,L47419,L,298.0,308.2,1611.0,30.6,195,0,0,0,0,0,0,0,10.2,49296.6
241,M15100,M,298.0,308.1,1339.0,51.6,197,0,0,0,0,0,0,1,10.1,69092.4
242,L47421,L,298.0,308.1,1777.0,24.3,200,0,0,0,0,0,0,0,10.1,43181.1
243,L47422,L,298.0,308.2,1348.0,58.8,202,1,0,0,0,1,0,0,10.2,79262.4
244,L47423,L,298.0,308.2,1442.0,44.1,204,0,0,0,0,0,0,0,10.2,63592.2
245,M15104,M,298.0,308.2,1395.0,49.1,206,0,0,0,0,0,0,1,10.2,68494.5
246,M15105,M,297.9,308.1,1627.0,31.4,209,0,0,0,0,0,0,1,10.2,51087.8
247,L47426,L,297.9,308.1,1585.0,33.5,212,0,0,0,0,0,0,0,10.2,53097.5
248,L47427,L,298.0,308.2,1469.0,45.5,214,0,0,0,0,0,0,0,10.2,66839.5
249,L47428,L,298.0,308.3,1362.0,56.8,216,1,0,0,0,1,0,0,10.3,77361.6
250,L47429,L,298.0,308.3,1405.0,56.2,218,1,0,0,0,1,0,0,10.3,78961.0
251,L47430,L,298.0,308.3,1662.0,32.7,0,0,0,0,0,0,0,0,10.3,54347.4
252,M15111,M,298.0,308.2,1466.0,42.6,2,0,0,0,0,0,0,1,10.2,62451.6
253,L47432,L,298.0,308.2,1620.0,35.8,5,0,0,0,0,0,0,0,10.2,57996.0
254,L47433,L,298.0,308.2,1357.0,48.2,7,0,0,0,0,0,0,0,10.2,65407.4
255,L47434,L,298.0,308.2,1514.0,37.9,9,0,0,0,0,0,0,0,10.2,57380.6
256,L47435,L,298.0,308.2,1489.0,40.4,11,0,0,0,0,0,0,0,10.2,60155.6
257,L47436,L,298.1,308.3,1331.0,63.0,13,0,0,0,0,0,0,0,10.2,83853.0
258,L47437,L,298.0,308.0,1615.0,29.5,15,0,0,0,0,0,0,0,10.0,47642.5
259,L47438,L,298.1,308.2,1482.0,37.9,17,0,0,0,0,0,0,0,10.1,56167.8
260,M15119,M,298.1,308.2,1420.0,63.9,19,1,0,0,1,0,0,1,10.1,90738.0
261,M15120,M,298.2,308.3,1522.0,49.1,22,0,0,0,0,0,0,1,10.1,74730.2
262,L47441,L,298.1,308.2,1654.0,32.1,25,0,0,0,0,0,0,0,10.1,53093.4
263,M15122,M,298.1,308.2,1736.0,26.8,27,0,0,0,0,0,0,1,10.1,46524.8
264,M15123,M,298.0,308.1,1587.0,32.3,30,0,0,0,0,0,0,1,10.1,51260.1
265,L47444,L,298.1,308.2,1390.0,47.5,33,0,0,0,0,0,0,0,10.1,66025.0
266,L47445,L,298.0,308.1,1454.0,37.1,35,0,0,0,0,0,0,0,10.1,53943.4
267,H29680,H,298.0,308.1,1440.0,43.7,37,0,0,0,0,0,0,2,10.1,62928.0
268,L47447,L,297.9,308.0,1954.0,21.1,42,0,0,0,0,0,0,0,10.1,41229.4
269,H29682,H,297.9,308.0,1800.0,24.8,44,0,0,0,0,0,0,2,10.1,44640.0
270,L47449,L,298.0,308.0,1524.0,37.0,49,0,0,0,0,0,0,0,10.0,56388.0
271,H29684,H,298.0,308.0,1520.0,39.6,51,0,0,0,0,0,0,2,10.0,60192.0
272,M15131,M,298.1,308.1,1452.0,40.8,56,0,0,0,0,0,0,1,10.0,59241.6
273,L47452,L,298.1,308.1,1484.0,40.4,59,0,0,0,0,0,0,0,10.0,59953.6
274,L47453,L,298.1,308.0,1426.0,46.0,61,0,0,0,0,0,0,0,9.9,65596.0
275,L47454,L,298.1,308.0,1652.0,28.5,63,0,0,0,0,0,0,0,9.9,47082.0
276,L47455,L,298.0,308.0,1401.0,54.7,65,0,0,0,0,0,0,0,10.0,76634.7
